timestamp,status,frame_id,scale_name,tile_img,global_x_1x,global_y_1x,pred_north_m,pred_east_m,true_north_m,true_east_m,truth_source,truth_status,truth_age_sec,truth_pose_age_sec,truth_gz_x,truth_gz_y,truth_gz_z,error_m,calc_error_m,gazebo_error_m,nav_north_m,nav_east_m,nav_raw_north_m,nav_raw_east_m,nav_filter_residual_m,nav_filter_reset,nav_gazebo_error_m,vision_tx_north_m,vision_tx_east_m,vision_tx_map_north_m,vision_tx_map_east_m,vision_timestamp_source,vision_align_source,vision_align_seed_source,vision_align_offset_north_m,vision_align_offset_east_m,vision_align_age_sec,nav_status,reject_reason,reject_error_m,reject_jump_m,reject_nav_age_sec,inliers,good_count,tiles_scanned,tiles_considered,frame_quad_width_m,frame_quad_height_m,frame_quad_area_m2,search_source,search_radius_m,duration_sec
2026-06-02T13:22:18,OK,1,sift_master,patch_r05_c05.png,6143.86572265625,6145.16357421875,-0.14203786849975586,-0.016391277313232422,-0.01605281171928069,0.02788139309349054,gazebo,receiving,0.05975747108459473,0.0016283988952636719,0.02788139309349054,-0.01605281171928069,100.62973474773182,,0.13353764966076748,0.13353764966076748,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,100,147,6,6,128.49638824384652,128.02318627580493,16445.746840530242,local_ned_seed,155.0,0.31112033399949723
2026-06-02T13:22:19,OK,3,sift_master,patch_r05_c05.png,6143.774719238281,6145.155029296875,-0.14099478721618652,-0.02750009298324585,-0.015442391011675903,0.027289138247245673,gazebo,receiving,0.024476051330566406,0.005968809127807617,0.027289138247245673,-0.015442391011675903,100.63015851615205,,0.13698636447297474,0.13698636447297474,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,101,148,6,6,128.45306973552158,127.94701162408323,16430.44652708517,local_ned_seed,220.0,0.26185816600082035
2026-06-02T13:22:19,OK,5,sift_master,patch_r05_c05.png,6144.169677734375,6146.5948486328125,-0.31675398349761963,0.020712614059448242,-0.014721870218307792,0.026692383286632537,gazebo,receiving,0.0024657249450683594,0.007761955261230469,0.026692383286632537,-0.014721870218307792,100.62946487115802,,0.3020913025758561,0.3020913025758561,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,93,154,6,6,128.83604811888617,128.54737877879523,16554.72749103626,local_ned_seed,220.0,0.27737618399987696
2026-06-02T13:22:19,OK,7,sift_master,patch_r05_c05.png,6143.639892578125,6144.7701416015625,-0.09401142597198486,-0.043958425521850586,-0.014133603078094201,0.02627724115254517,gazebo,receiving,0.021719932556152344,0.011543750762939453,0.02627724115254517,-0.014133603078094201,100.62830146942875,,0.10636501052256137,0.10636501052256137,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,92,150,6,6,128.43970704286895,127.45845306711884,16366.603100722603,local_ned_seed,220.0,0.3190946699996857
2026-06-02T13:22:20,OK,9,sift_master,patch_r05_c05.png,6144.2418212890625,6144.4942626953125,-0.06033480167388916,0.029519200325012207,-0.013341623191813168,0.02578409113461952,gazebo,receiving,0.06563091278076172,0.010643720626831055,0.02578409113461952,-0.013341623191813168,100.62659885818272,,0.04714138165680346,0.04714138165680346,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,96,154,6,6,128.32313049822466,127.96420140573386,16416.261126260404,local_ned_seed,220.0,0.34020823599894356
2026-06-02T13:22:20,OK,11,sift_master,patch_r05_c05.png,6143.571533203125,6145.0338134765625,-0.1261979341506958,-0.05230307579040527,-0.012157486557095552,0.02510062588877009,gazebo,receiving,0.022220373153686523,7.748603820800781e-05,0.02510062588877009,-0.012157486557095552,100.62386127146831,,0.13782799686924083,0.13782799686924083,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,98,145,6,6,128.390478518408,127.66247556722257,16386.5688818719,local_ned_seed,220.0,0.3580387399997562
2026-06-02T13:22:20,OK,13,sift_master,patch_r05_c05.png,6143.91015625,6143.3331298828125,0.08140504360198975,-0.010967254638671875,-0.011277722505620999,0.024507379471540636,gazebo,receiving,0.06891942024230957,0.0015778541564941406,0.024507379471540636,-0.011277722505620999,100.62151705850073,,0.0992398347369217,0.0992398347369217,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,88,144,6,6,127.9376335030984,127.76900275890257,16340.16025324231,local_ned_seed,220.0,0.345472768000036
2026-06-02T13:22:21,OK,15,sift_master,patch_r05_c05.png,6143.887756347656,6143.181640625,0.09989738464355469,-0.01370161771774292,-0.01057918044879975,0.023844217365805553,gazebo,receiving,0.04419422149658203,0.003971099853515625,0.023844217365805553,-0.01057918044879975,100.61942149129652,,0.11668230871355884,0.11668230871355884,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,85,145,6,6,127.67036816590493,127.71524938434666,16298.35799639881,local_ned_seed,220.0,0.281159308999122
2026-06-02T13:22:21,OK,17,sift_master,patch_r05_c05.png,6143.999206542969,6143.13623046875,0.10544061660766602,-9.685754776000977e-05,-0.009970347138098976,0.023125809023201688,gazebo,receiving,0.024463653564453125,0.010059833526611328,0.023125809023201688,-0.009970347138098976,100.61754979816068,,0.11772418101389512,0.11772418101389512,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,94,151,6,6,127.6108049362647,127.65474373973667,16283.383495734743,local_ned_seed,220.0,0.28133826900011627
2026-06-02T13:22:21,OK,19,sift_master,patch_r05_c05.png,6143.756774902344,6144.1419677734375,-0.017330050468444824,-0.029690563678741455,-0.009485321697064408,0.022544384184483693,gazebo,receiving,0.09419393539428711,0.0002524852752685547,0.022544384184483693,-0.009485321697064408,100.61589404929244,,0.052820730284334136,0.052820730284334136,,,,,,,,,,,,,,,,,,REJECTED,low_inliers,,,,93,148,6,6,127.2040302621694,127.02601900318066,16156.60426134577,local_ned_seed,220.0,0.26733695500115573
