scenario,file,independent_gazebo_truth,truth_source,error_column_used,duration_s,samples,mean_error_m,median_error_m,rmse_m,p95_error_m,max_error_m,std_error_m,mean_good_matches,mean_inliers,mean_inlier_ratio,mean_processing_time_s,approx_processing_fps,accepted_count,rejected_count,accepted_ratio,rejected_ratio,truth_note
100 m FOV65 768 px,live_sift_master_100m_fov65_768_long.csv,False,,calc_error_m,301.0,1773,0.8248065975004257,0.746482864885352,0.9642269073391789,1.7794023153209968,3.2137097896840845,0.49942727754563865,147.78793006204174,97.6068809926678,0.6641072900815465,0.11843798645233873,8.443237089330418,1773,0,1.0,0.0,Bağımsız Gazebo truth sonucu olarak kullanılmamalı; performans/eşleşme gözlemidir.
100 m FOV65 1024 px,live_sift_master_100m_fov65_1024_long.csv,False,,calc_error_m,299.0,1722,0.9484075212866366,0.8474154811648187,1.1231733780672755,2.063463026122704,3.139601072273046,0.6016989369826017,155.20731707317074,101.22648083623693,0.6545077838222437,0.1724540099587787,5.798647420486354,1722,0,1.0,0.0,Bağımsız Gazebo truth sonucu olarak kullanılmamalı; performans/eşleşme gözlemidir.
512 px FOV65 no-zoom uzun gözlem,live_sift_master_512_fov65_nozoom_observe.csv,False,,calc_error_m,4169.0,14110,0.49024462299490207,0.424568227092644,0.629586299280539,1.3499035784460112,2.838823928640378,0.3950178703126617,134.88395187010727,92.3917802261525,0.6787935521291836,0.1282514250947548,7.797184314023641,13577,219,0.9841258335749493,0.01587416642505074,Bağımsız Gazebo truth sonucu olarak kullanılmamalı; performans/eşleşme gözlemidir.
