scenario,file,independent_gazebo_truth,truth_source,error_column_used,duration_s,samples,mean_error_m,median_error_m,rmse_m,p95_error_m,max_error_m,std_error_m,mean_good_matches,mean_inliers,mean_inlier_ratio,mean_processing_time_s,approx_processing_fps,accepted_count,rejected_count,accepted_ratio,rejected_ratio
Hover 100 m,sift_observe_100m_hover_60s.csv,True,gazebo,gazebo_error_m,60.0,255,0.12141880593350385,0.10764893293867228,0.14158504630160948,0.2647957188023461,0.393112939986406,0.07282718518459322,146.95686274509805,89.1921568627451,0.607033467567806,0.2322529775255152,4.305649859279589,0,255,0.0,1.0
Hareket 100 m / ~1 m/s,sift_observe_100m_move_1ms_90s.csv,True,gazebo,gazebo_error_m,87.0,338,0.9018959355500678,0.3956963982756938,1.3201555061976886,2.871493255173679,3.5676744799797806,0.9640509747841883,202.02366863905326,140.71005917159763,0.6839631824705393,0.23837350370408705,4.195097124726511,0,338,0.0,1.0
