timestamp,status,frame_id,scale_name,tile_img,global_x_1x,global_y_1x,pred_north_m,pred_east_m,true_north_m,true_east_m,error_m,calc_error_m,nav_status,reject_reason,reject_error_m,reject_jump_m,reject_nav_age_sec,inliers,good_count,tiles_scanned,tiles_considered,search_source,search_radius_m,duration_sec
2026-05-31T23:14:28,OK,1,1/4x,tile_r000_c003_x2304_y0.jpg,10792.907836914062,3016.591552734375,108.3266020507579,-64.51439410655732,108.99273681640625,-64.56121063232422,,0.6677778920346696,REJECTED,low_inliers,,,,119,195,6,6,local_ned_seed,120.0,1.7512285119992157
2026-05-31T23:14:30,OK,13,1/4x,tile_r000_c003_x2304_y0.jpg,10792.103637695312,3016.498046875,108.33183689786806,-64.5594165244174,108.99158477783203,-64.5622787475586,,0.6597540886104967,REJECTED,low_inliers,,,,110,203,10,10,local_ned_seed,216.0,2.0697447130005457
2026-05-31T23:14:32,OK,27,1/4x,tile_r000_c003_x2304_y0.jpg,10792.891845703125,3016.60107421875,108.32606899844116,-64.51528936107164,108.9862060546875,-64.56240844726562,,0.661816546569623,REJECTED,low_inliers,,,,103,196,10,10,local_ned_seed,250.0,1.9772565019993635
2026-05-31T23:14:34,OK,40,1/4x,tile_r000_c003_x2304_y0.jpg,10797.2158203125,3023.421875,107.94421218756911,-64.27321527402873,108.98552703857422,-64.56303405761719,,1.0808938644679649,REJECTED,low_inliers,,,,106,205,10,10,local_ned_seed,250.0,1.8077325919985014
2026-05-31T23:14:36,OK,52,1/4x,tile_r000_c003_x2304_y0.jpg,10794.486694335938,3018.7119140625,108.20789540023084,-64.42600309978721,108.98347473144531,-64.56635284423828,,0.7881759637127808,REJECTED,low_inliers,,,,107,201,10,10,local_ned_seed,250.0,1.8959032269995078
2026-05-31T23:14:38,OK,65,1/4x,tile_r000_c002_x1536_y0.jpg,10832.69970703125,3021.352294921875,108.06007589240708,-62.286679677000045,108.97825622558594,-64.56550598144531,,2.456848479265277,REJECTED,low_inliers,,,,103,156,10,10,local_ned_seed,250.0,1.6138805600021442
2026-05-31T23:14:40,OK,77,1/4x,tile_r000_c003_x2304_y0.jpg,10790.260498046875,3014.567138671875,108.43993717409349,-64.66260314968582,108.97488403320312,-64.56480407714844,,0.543813203830543,REJECTED,low_inliers,,,,110,206,10,10,local_ned_seed,250.0,2.0492457350010227
2026-05-31T23:14:42,OK,90,1/4x,tile_r000_c003_x2304_y0.jpg,10791.330688476562,3016.232177734375,108.34672135871132,-64.60268943727249,108.97576904296875,-64.56493377685547,,0.6301797195746304,REJECTED,low_inliers,,,,110,199,10,10,local_ned_seed,250.0,1.9942616309999721
2026-05-31T23:14:44,OK,103,1/4x,tile_r000_c003_x2304_y0.jpg,10796.151733398438,3017.111328125,108.2975028614692,-64.33278728624578,108.97032928466797,-64.56246948242188,,0.7109495811903457,REJECTED,low_inliers,,,,110,205,10,10,local_ned_seed,250.0,2.0731603519998316
2026-05-31T23:14:45,OK,117,1/4x,tile_r000_c003_x2304_y0.jpg,10797.693359375,3019.011474609375,108.19112475426694,-64.24648065067291,108.96873474121094,-64.56156158447266,,0.839019240923097,REJECTED,low_inliers,,,,107,196,10,10,local_ned_seed,250.0,1.8456863649989828
2026-05-31T23:14:47,OK,129,1/4x,tile_r000_c003_x2304_y0.jpg,10801.336059570312,3018.302001953125,108.23084398586529,-64.04254713953733,108.81678009033203,-64.40789794921875,,0.6905087491498746,REJECTED,low_inliers,,,,110,199,10,10,local_ned_seed,250.0,1.607368557000882
2026-05-31T23:14:49,OK,139,1/4x,tile_r000_c003_x2304_y0.jpg,10796.375732421875,3024.445068359375,107.88692956553588,-64.32024688904289,107.94464874267578,-63.50212097167969,,0.8201594479557569,REJECTED,low_inliers,,,,103,207,10,10,local_ned_seed,250.0,1.6006337799990433
2026-05-31T23:14:50,OK,150,1/4x,tile_r000_c003_x2304_y0.jpg,10816.491821289062,3035.09130859375,107.29090873542286,-63.194064548184876,106.51971435546875,-62.056922912597656,1.3739839413394839,1.3739839413394839,OK,,,,,130,212,10,10,local_ned_seed,250.0,1.5644788009994954
