timestamp,status,frame_id,scale_name,tile_img,global_x_1x,global_y_1x,pred_north_m,pred_east_m,true_north_m,true_east_m,error_m,calc_error_m,nav_status,reject_reason,reject_error_m,reject_jump_m,reject_nav_age_sec,inliers,good_count,tiles_scanned,tiles_considered,search_source,search_radius_m,duration_sec
2026-06-01T11:36:47,OK,1,1/4x,tile_r000_c003_x2304_y0.jpg,11034.004638671875,2606.681640625,131.27506467309627,-51.01679214378833,132.48450698754309,-51.03919609995342,1.2096498043757637,1.2096498043757637,OK,,,,,174,316,4,40,global,,1.2289618830000109
2026-06-01T11:36:47,OK,9,1/4x,tile_r000_c003_x2304_y0.jpg,11033.983154296875,2607.996337890625,131.2014624493671,-51.01799492847916,132.48450698754309,-51.03919609995342,1.2832196914850837,1.2832196914850837,OK,,,,,176,324,1,6,vision_predicted,125.02480476964753,0.3278304340001341
2026-06-01T11:36:47,OK,11,1/4x,tile_r000_c003_x2304_y0.jpg,11036.910034179688,2609.10498046875,131.13939602449165,-50.85413601636167,132.48450698754309,-51.03919609995342,1.3577815499778145,1.3577815499778145,OK,,,,,183,321,1,6,vision_predicted,125.00659495785834,0.3247209250002925
2026-06-01T11:36:47,OK,13,1/4x,tile_r000_c003_x2304_y0.jpg,11033.083984375,2607.699462890625,131.21808274724168,-51.06833420139309,132.48450698754309,-51.03919609995342,1.2667594031143,1.2667594031143,OK,,,,,171,309,1,6,vision_predicted,125.00724364552954,0.30039526499967906
2026-06-01T11:36:49,OK,15,1/4x,tile_r000_c003_x2304_y0.jpg,11036.51123046875,2609.66064453125,131.1082876380093,-50.8764627071857,132.48450698754309,-51.03919609995342,1.3858072936569805,1.3858072936569805,OK,,,,,153,316,6,6,vision_predicted,125.00715771727484,1.6220802859988908
2026-06-01T11:36:49,OK,26,1/4x,tile_r000_c003_x2304_y0.jpg,11033.564208984375,2611.522705078125,131.00404174007383,-51.04144922995095,132.48450698754309,-51.03919609995342,1.4804669619950952,1.4804669619950952,OK,,,,,175,318,1,6,vision_predicted,125.03083411821021,0.28170047999992676
2026-06-01T11:36:50,OK,28,1/4x,tile_r000_c003_x2304_y0.jpg,11037.82958984375,2605.12646484375,131.36212988482418,-50.802655464792245,132.48450698754309,-51.03919609995342,1.1470317488152304,1.1470317488152304,OK,,,,,165,307,1,6,vision_predicted,125.0058670041201,0.28067769700101053
2026-06-01T11:36:50,OK,29,1/4x,tile_r000_c003_x2304_y0.jpg,11033.345092773438,2604.682861328125,131.38696465557928,-51.05371626699684,132.48450698754309,-51.03919609995342,1.0976383765628472,1.0976383765628472,OK,,,,,164,313,1,6,vision_predicted,125.0054643250562,0.27363499400053115
2026-06-01T11:36:50,OK,31,1/4x,tile_r000_c003_x2304_y0.jpg,11031.49462890625,2603.686767578125,131.4427301287111,-51.15731293250084,132.48450698754309,-51.03919609995342,1.0484515295085708,1.0484515295085708,OK,,,,,161,321,1,6,vision_predicted,125.00871809499519,0.25893893700049375
2026-06-01T11:36:50,OK,33,1/4x,tile_r000_c003_x2304_y0.jpg,11038.390258789062,2605.152587890625,131.36066740795536,-50.7712668847632,132.48450698754309,-51.03919609995342,1.155336083137872,1.155336083137872,OK,,,,,166,322,1,6,vision_predicted,125.0080282954351,0.2661323119991721
2026-06-01T11:36:51,OK,35,1/4x,tile_r000_c003_x2304_y0.jpg,11031.442749023438,2608.154541015625,131.192605580105,-51.160217384169066,132.48450698754309,-51.03919609995342,1.297557473784373,1.297557473784373,OK,,,,,182,322,1,6,vision_predicted,125.00814028996854,0.2710561570002028
2026-06-01T11:36:51,OK,37,1/4x,tile_r000_c003_x2304_y0.jpg,11030.559326171875,2604.470947265625,131.3988284866279,-51.20967507057659,132.48450698754309,-51.03919609995342,1.0989817499732035,1.0989817499732035,OK,,,,,185,322,1,6,vision_predicted,125.00739055817931,0.26909540300039225
2026-06-01T11:36:51,OK,39,1/4x,tile_r000_c003_x2304_y0.jpg,11032.385009765625,2608.08056640625,131.19674698656553,-51.107465707869515,132.48450698754309,-51.03919609995342,1.289568361694227,1.289568361694227,OK,,,,,203,328,1,6,vision_predicted,125.0073926610127,0.27467743899978814
2026-06-01T11:36:52,OK,41,1/4x,tile_r000_c003_x2304_y0.jpg,11035.355712890625,2608.74755859375,131.15940598838017,-50.94115338834285,132.48450698754309,-51.03919609995342,1.3287230829945362,1.3287230829945362,OK,,,,,175,321,1,6,vision_predicted,125.00678273879495,0.26656176100004814
2026-06-01T11:36:52,OK,43,1/4x,tile_r000_c003_x2304_y0.jpg,11033.344970703125,2609.56787109375,131.1134814810951,-51.05372310100079,132.48450698754309,-51.03919609995342,1.3711024662986955,1.3711024662986955,OK,,,,,179,329,1,6,vision_predicted,125.00622869181642,0.2529367219995038
2026-06-01T11:36:52,OK,44,1/4x,tile_r000_c003_x2304_y0.jpg,11034.055786132812,2607.71337890625,131.2173036707788,-51.01392869614366,132.48450698754309,-51.03919609995342,1.2674552014622513,1.2674552014622513,OK,,,,,204,340,1,6,vision_predicted,125.00572643210992,0.2641395080008806
2026-06-01T11:36:52,OK,46,1/4x,tile_r000_c003_x2304_y0.jpg,11028.97021484375,2605.502685546875,131.34106748431049,-51.29864013367651,132.48450698754309,-51.03919609995342,1.1725037757667645,1.1725037757667645,OK,,,,,173,330,1,6,vision_predicted,125.0077327742659,0.2685614499987423
2026-06-01T11:36:53,OK,48,1/4x,tile_r000_c003_x2304_y0.jpg,11030.2578125,2604.738037109375,131.38387568574404,-51.226555060272226,132.48450698754309,-51.03919609995342,1.116464348965785,1.116464348965785,OK,,,,,198,332,1,6,vision_predicted,125.00729686271497,0.27961272899847245
2026-06-01T11:36:53,OK,50,1/4x,tile_r000_c003_x2304_y0.jpg,11033.730224609375,2609.843017578125,131.09807763594324,-51.03215498461241,132.48450698754309,-51.03919609995342,1.386447230976646,1.386447230976646,OK,,,,,201,332,1,6,vision_predicted,125.00737120746153,0.24861015699934796
2026-06-01T11:36:54,OK,52,1/4x,tile_r000_c003_x2304_y0.jpg,11034.06884765625,2609.987548828125,131.08998617513583,-51.01319745772357,132.48450698754309,-51.03919609995342,1.3947631432020187,1.3947631432020187,OK,,,,,147,310,6,6,vision_predicted,125.0065992465065,1.1442738759997155
2026-06-01T11:36:54,OK,60,1/4x,tile_r000_c003_x2304_y0.jpg,11029.366088867188,2605.400390625,131.34679437971295,-51.27647745894662,132.48450698754309,-51.03919609995342,1.1621929363669852,1.1621929363669852,OK,,,,,165,320,1,6,vision_predicted,125.02895635295212,0.25951421600075264
2026-06-01T11:36:55,OK,62,1/4x,tile_r000_c003_x2304_y0.jpg,11034.421020507812,2608.490234375,131.17381206893924,-50.993481356398995,132.48450698754309,-51.03919609995342,1.3114919013978634,1.3114919013978634,OK,,,,,162,312,1,6,vision_predicted,125.00840027874126,0.275877299000058
2026-06-01T11:36:56,OK,64,1/4x,tile_r000_c003_x2304_y0.jpg,11024.300903320312,2614.716064453125,130.82526419385698,-51.56004761782406,132.48450698754309,-51.03919609995342,1.7390724401437154,1.7390724401437154,OK,,,,,155,322,6,6,vision_predicted,125.00826815563565,1.1448184959990613
2026-06-01T11:36:56,OK,72,1/4x,tile_r000_c003_x2304_y0.jpg,11030.380126953125,2608.133056640625,131.19380836481963,-51.219707388338996,132.48450698754309,-51.03919609995342,1.303260242597326,1.303260242597326,OK,,,,,162,315,1,6,vision_predicted,125.03159141922828,0.26179774699994596
2026-06-01T11:36:56,OK,74,1/4x,tile_r000_c003_x2304_y0.jpg,11037.009155273438,2611.107421875,131.02729102188687,-50.8485868051743,132.48450698754309,-51.03919609995342,1.4696292980951278,1.4696292980951278,OK,,,,,177,319,1,6,vision_predicted,125.0076807699302,0.2634693079999124
2026-06-01T11:36:57,OK,76,1/4x,tile_r000_c003_x2304_y0.jpg,11038.749633789062,2612.77001953125,130.9342118865859,-50.751147577207085,132.48450698754309,-51.03919609995342,1.5768280982745704,1.5768280982745704,OK,,,,,170,322,1,6,vision_predicted,125.00684589687097,0.2660210260000895
2026-06-01T11:36:57,OK,77,1/4x,tile_r000_c003_x2304_y0.jpg,11033.65087890625,2608.41796875,131.17785779934292,-51.03659708716389,132.48450698754309,-51.03919609995342,1.3066517730029066,1.3066517730029066,OK,,,,,181,331,1,6,vision_predicted,125.00660618111183,0.28160253100031696
2026-06-01T11:36:57,OK,80,1/4x,tile_r000_c003_x2304_y0.jpg,11034.1728515625,2607.913330078125,131.20610957212813,-51.00737488637929,132.48450698754309,-51.03919609995342,1.27879339276248,1.27879339276248,OK,,,,,180,327,1,6,vision_predicted,125.01131663250392,0.2680556639988936
2026-06-01T11:36:57,OK,82,1/4x,tile_r000_c003_x2304_y0.jpg,11027.277099609375,2612.6689453125,130.93987044194785,-51.39342776812071,132.48450698754309,-51.03919609995342,1.584734088962868,1.584734088962868,OK,,,,,165,322,1,6,vision_predicted,125.0069131430088,0.2958313700000872
2026-06-01T11:36:58,OK,84,1/4x,tile_r000_c003_x2304_y0.jpg,11031.028442382812,2608.497802734375,131.17338836068745,-51.18341199349168,132.48450698754309,-51.03919609995342,1.3190262611626933,1.3190262611626933,OK,,,,,169,325,1,6,vision_predicted,125.00762814452524,0.2807362550011021
2026-06-01T11:36:58,OK,85,1/4x,tile_r000_c003_x2304_y0.jpg,11034.468872070312,2610.163818359375,131.08011787327285,-50.990802426860334,132.48450698754309,-51.03919609995342,1.4052226627393125,1.4052226627393125,OK,,,,,183,322,1,6,vision_predicted,125.00731236350556,0.27800334400126303
2026-06-01T11:36:58,OK,88,1/4x,tile_r000_c003_x2304_y0.jpg,11038.112670898438,2614.21240234375,130.85346129460964,-50.78680740968942,132.48450698754309,-51.03919609995342,1.650457543655669,1.650457543655669,OK,,,,,176,326,1,6,vision_predicted,125.01147163022499,0.26775876200008497
