timestamp,status,frame_id,scale_name,tile_img,global_x_1x,global_y_1x,pred_north_m,pred_east_m,true_north_m,true_east_m,error_m,calc_error_m,nav_status,reject_reason,reject_error_m,reject_jump_m,reject_nav_age_sec,inliers,good_count,tiles_scanned,tiles_considered,frame_quad_width_m,frame_quad_height_m,frame_quad_area_m2,search_source,search_radius_m,duration_sec
2026-06-01T21:23:07,OK,1,sift_master,patch_r05_c05.png,6145.470458984375,6144.4219970703125,-0.05151331424713135,0.17949938774108887,0.23695192523662983,-0.05542617625569325,0.37202448173423996,0.37202448173423996,OK,,,,,107,152,61,121,125.87089632494065,125.50397190944196,15794.170343610747,global,,1.186339918000158
2026-06-01T21:23:07,OK,8,sift_master,patch_r05_c05.png,6143.764221191406,6147.7969970703125,-0.46350061893463135,-0.028781592845916748,0.23695192523662983,-0.05542617625569325,0.7009591289519477,0.7009591289519477,OK,,,,,98,142,1,9,125.69411932686492,125.06347147897928,15716.974766889047,vision_predicted,155.0355811702393,0.24919150699997772
2026-06-01T21:23:08,OK,10,sift_master,patch_r05_c05.png,6144.053955078125,6146.7752685546875,-0.33877789974212646,0.006586313247680664,0.23695192523662983,-0.04699213646749205,0.5782175037509247,0.5782175037509247,OK,,,,,94,142,1,9,124.77560521185814,125.0532452608501,15600.727947190668,vision_predicted,155.0126060868505,0.23138837900023645
2026-06-01T21:23:08,OK,12,sift_master,patch_r05_c05.png,6143.9246826171875,6146.914306640625,-0.35575032234191895,-0.009194016456604004,0.23695192523662983,-0.04699213646749205,0.5939062654670524,0.5939062654670524,OK,,,,,90,141,1,9,125.0502012838473,125.12918177467641,15644.880388416437,vision_predicted,155.01031640508424,0.2727482659997804
2026-06-01T21:23:08,OK,14,sift_master,patch_r05_c05.png,6143.904357910156,6146.867919921875,-0.35008788108825684,-0.011675059795379639,0.23695192523662983,-0.04699213646749205,0.5881012073738876,0.5881012073738876,OK,,,,,100,147,1,9,125.66628123902535,125.23473795564274,15734.265006692505,vision_predicted,155.00953794597973,0.2663515889998962
2026-06-01T21:23:08,OK,16,sift_master,patch_r05_c05.png,6144.1058349609375,6147.3203125,-0.40531158447265625,0.012919306755065918,0.23695192523662983,-0.04699213646749205,0.6450517784899907,0.6450517784899907,OK,,,,,113,151,1,9,125.57303503255245,125.20276771193429,15718.612339933823,vision_predicted,155.0098824513849,0.23105875300007028
2026-06-01T21:23:09,OK,18,sift_master,patch_r05_c05.png,6144.2401123046875,6146.537841796875,-0.3097951412200928,0.02931058406829834,0.23695192523662983,-0.04699213646749205,0.5520457044848686,0.5520457044848686,OK,,,,,101,139,1,9,125.49863201022501,125.17635422442116,15706.164258740191,vision_predicted,155.00708912504405,0.23727850000022954
2026-06-01T21:23:09,OK,20,sift_master,patch_r05_c05.png,6143.601135253906,6146.8985595703125,-0.3538280725479126,-0.04868954420089722,0.23695192523662983,-0.04699213646749205,0.5907824362447799,0.5907824362447799,OK,,,,,95,142,1,9,125.58707477902104,125.15351401463654,15714.168639374082,vision_predicted,155.00836104560094,0.22661921999997503
2026-06-01T21:23:09,OK,22,sift_master,patch_r05_c05.png,6145.872314453125,6146.82763671875,-0.3451704978942871,0.22855401039123535,0.23695192523662983,-0.04699213646749205,0.6440436278393737,0.6440436278393737,OK,,,,,101,151,1,9,125.56513902471295,125.23063259421019,15721.028701315421,vision_predicted,155.00730561084114,0.22998976200005927
2026-06-01T21:23:09,OK,24,sift_master,patch_r05_c05.png,6145.759033203125,6144.3115234375,-0.03802776336669922,0.21472573280334473,0.23695192523662983,-0.04699213646749205,0.3796183244260617,0.3796183244260617,OK,,,,,89,146,1,9,125.8589900588209,125.04147498520346,15734.832172919265,vision_predicted,155.0076475537954,0.21471754899994266
2026-06-01T21:23:10,OK,26,sift_master,patch_r05_c05.png,6145.779541015625,6143.7987060546875,0.024572014808654785,0.21722912788391113,0.23695192523662983,-0.04699213646749205,0.3389957269477726,0.3389957269477726,OK,,,,,93,142,1,9,125.49590438519049,125.17290453586583,15706.226765754449,vision_predicted,155.00685995416052,0.2376971510002477
2026-06-01T21:23:10,OK,28,sift_master,patch_r05_c05.png,6145.8095703125,6144.3704833984375,-0.04522502422332764,0.22089481353759766,0.23695192523662983,-0.04699213646749205,0.38908514336781974,0.38908514336781974,OK,,,,,96,140,1,9,124.75363108801396,124.43875671858446,15522.899991313621,vision_predicted,155.00640666099,0.24844525199978307
2026-06-01T21:23:10,OK,30,sift_master,patch_r05_c05.png,6145.763671875,6145.3306884765625,-0.1624375581741333,0.21529197692871094,0.23695192523662983,-0.04699213646749205,0.4778126365000705,0.4778126365000705,OK,,,,,89,136,1,9,126.36631830337075,125.7756186370742,15889.438439978365,vision_predicted,155.00653961524677,0.28222509699980947
2026-06-01T21:23:10,OK,32,sift_master,patch_r05_c05.png,6145.7369384765625,6143.3343505859375,0.08125603199005127,0.2120286226272583,0.23695192523662983,-0.04699213646749205,0.30221344248042753,0.30221344248042753,OK,,,,,83,137,1,9,124.8775196542046,125.05369251204468,15612.075161926698,vision_predicted,155.00642893773738,0.2907080039999528
2026-06-01T21:23:11,OK,34,sift_master,patch_r05_c05.png,6145.817626953125,6143.769958496094,0.028081238269805908,0.2218782901763916,0.23695192523662983,-0.04699213646749205,0.34046772269578945,0.34046772269578945,OK,,,,,94,141,1,9,124.89774675401355,125.01858370604319,15610.656470481932,vision_predicted,155.00694135050904,0.26540122799997334
2026-06-01T21:23:11,OK,36,sift_master,patch_r05_c05.png,6145.5797119140625,6143.8531494140625,0.01792609691619873,0.19283592700958252,0.23695192523662983,-0.04699213646749205,0.3247919541839278,0.3247919541839278,OK,,,,,95,133,1,9,125.18678213993054,125.08458150098456,15656.621578842096,vision_predicted,155.00571177835138,0.24485050400016917
2026-06-01T21:23:11,OK,38,sift_master,patch_r05_c05.png,6145.5521240234375,6144.249267578125,-0.030428171157836914,0.18946826457977295,0.23695192523662983,-0.04699213646749205,0.35693926263630305,0.35693926263630305,OK,,,,,100,144,1,9,125.79883244916296,125.34575261142342,15764.818169080901,vision_predicted,155.00494964808735,0.24200032999988252
2026-06-01T21:23:11,OK,39,sift_master,patch_r05_c05.png,6145.613525390625,6144.244384765625,-0.029832124710083008,0.19696354866027832,0.23695192523662983,-0.04699213646749205,0.3615080989578657,0.3615080989578657,OK,,,,,103,146,1,9,125.73539278111994,125.3137834943304,15753.521769585443,vision_predicted,155.0045579479932,0.23129654000013034
2026-06-01T21:23:12,OK,41,sift_master,patch_r05_c05.png,6145.2864990234375,6142.998474121094,0.1222565770149231,0.15704333782196045,0.23695192523662983,-0.04699213646749205,0.23406302072779545,0.23406302072779545,OK,,,,,103,147,1,9,125.1841987800913,124.9754481418275,15642.441693524272,vision_predicted,155.00718963086828,0.21768479699994714
2026-06-01T21:23:12,OK,43,sift_master,patch_r05_c05.png,6145.671875,6146.729736328125,-0.3332197666168213,0.2040863037109375,0.23695192523662983,-0.04699213646749205,0.6230057313648568,0.6230057313648568,OK,,,,,93,142,1,9,125.51316872233298,125.13770361632476,15703.378804817426,vision_predicted,155.0066948926253,0.20394573700014007
2026-06-01T21:23:12,OK,45,sift_master,patch_r05_c05.png,6145.91650390625,6148.1346435546875,-0.504717230796814,0.2339482307434082,0.23695192523662983,-0.04699213646749205,0.7930955976047,0.7930955976047,OK,,,,,105,151,1,9,125.98254876610888,125.60564216364936,15820.572964385881,vision_predicted,155.00591713167984,0.21780938100027925
2026-06-01T21:23:12,OK,47,sift_master,patch_r05_c05.png,6146.091552734375,6146.8360595703125,-0.3461986780166626,0.25531649589538574,0.23695192523662983,-0.04699213646749205,0.6568524455886516,0.6568524455886516,OK,,,,,83,147,1,9,125.69363271326233,125.8403983998168,15814.738127417877,vision_predicted,155.0056755150547,0.21422581899969373
2026-06-01T21:23:13,OK,49,sift_master,patch_r05_c05.png,6145.6190185546875,6146.7637939453125,-0.3373771905899048,0.19763410091400146,0.23695192523662983,-0.04699213646749205,0.6242563009706157,0.6242563009706157,OK,,,,,99,147,1,9,125.47346415091884,125.29054648552118,15717.618150321161,vision_predicted,155.00502673992779,0.23314339900025516
2026-06-01T21:23:13,OK,50,sift_master,patch_r05_c05.png,6145.94140625,6149.0274658203125,-0.6137043237686157,0.23698806762695312,0.23695192523662983,-0.04699213646749205,0.8968058933176104,0.8968058933176104,OK,,,,,84,135,1,9,126.1219612565295,125.65251180072335,15843.084766604621,vision_predicted,155.0052266863938,0.21238792800022566
2026-06-01T21:23:13,OK,52,sift_master,patch_r05_c05.png,6145.748779296875,6146.1629638671875,-0.2640336751937866,0.21347403526306152,0.23695192523662983,-0.04699213646749205,0.564649624505848,0.564649624505848,OK,,,,,91,152,1,9,125.76204108193939,125.3789171173087,15763.936186724613,vision_predicted,155.00765955902511,0.21246992799979125
2026-06-01T21:23:13,OK,54,sift_master,patch_r05_c05.png,6145.193603515625,6147.1859130859375,-0.38890540599823,0.14570355415344238,0.23695192523662983,-0.04699213646749205,0.6548503861526692,0.6548503861526692,OK,,,,,110,152,1,9,125.62634413132656,125.23118250409438,15728.54405858254,vision_predicted,155.0074546351073,0.2213379529998747
2026-06-01T21:23:13,OK,56,sift_master,patch_r05_c05.png,6145.0452880859375,6147.9146728515625,-0.4778653383255005,0.12759864330291748,0.23695192523662983,-0.04699213646749205,0.7358299128652571,0.7358299128652571,OK,,,,,97,146,1,9,125.85448852053094,125.25222571529798,15760.639329883808,vision_predicted,155.0068559214768,0.2494660649999787
2026-06-01T21:23:14,OK,58,sift_master,patch_r05_c05.png,6145.324462890625,6146.37744140625,-0.29021501541137695,0.16167759895324707,0.23695192523662983,-0.04699213646749205,0.5669638805009897,0.5669638805009897,OK,,,,,105,151,1,9,125.46065128071987,125.19729121900647,15703.236136021758,vision_predicted,155.00747866431033,0.21921158099985405
2026-06-01T21:23:14,OK,60,sift_master,patch_r05_c05.png,6145.1346435546875,6146.9622802734375,-0.3616064786911011,0.13850629329681396,0.23695192523662983,-0.04699213646749205,0.6266433039277894,0.6266433039277894,OK,,,,,117,151,1,9,125.60511465449368,125.41538356925591,15749.719322068007,vision_predicted,155.00743650083916,0.25258140300002196
2026-06-01T21:23:14,OK,62,sift_master,patch_r05_c05.png,6144.8037109375,6146.1373291015625,-0.2609044313430786,0.09810924530029297,0.23695192523662983,-0.04699213646749205,0.5185704993322917,0.5185704993322917,OK,,,,,97,155,1,9,125.35446465254554,125.27508466060821,15701.060615491731,vision_predicted,155.00836822291336,0.2271945490001599
2026-06-01T21:23:14,OK,64,sift_master,patch_r05_c05.png,6145.1484375,6146.08935546875,-0.2550482749938965,0.14019012451171875,0.23695192523662983,-0.04699213646749205,0.5264042133685551,0.5264042133685551,OK,,,,,86,141,1,9,125.44421832422469,125.14151377511045,15695.324832204344,vision_predicted,155.00721366827537,0.24816722599962304
2026-06-01T21:23:15,OK,65,sift_master,patch_r05_c05.png,6145.6746826171875,6146.6234130859375,-0.32024085521698,0.204429030418396,0.23695192523662983,-0.04699213646749205,0.611290763669701,0.611290763669701,OK,,,,,104,139,1,9,125.45467428395918,125.08754375275277,15689.352303159183,vision_predicted,155.007701972179,0.20465289300000222
2026-06-01T21:23:15,OK,67,sift_master,patch_r05_c05.png,6145.6787109375,6146.378662109375,-0.29036402702331543,0.20492076873779297,0.23695192523662983,-0.04699213646749205,0.5843990291887726,0.5843990291887726,OK,,,,,104,151,1,9,125.27323020980852,125.21720606178646,15681.70002607236,vision_predicted,155.01056116904292,0.19231530899969584
2026-06-01T21:23:15,OK,69,sift_master,patch_r05_c05.png,6145.870361328125,6147.69580078125,-0.45114755630493164,0.2283155918121338,0.23695192523662983,-0.04699213646749205,0.7411310557170399,0.7411310557170399,OK,,,,,98,149,1,9,125.26094749577638,125.573330787458,15727.193126107735,vision_predicted,155.0090209120836,0.23343290699995123
