timestamp,status,frame_id,scale_name,tile_img,global_x_1x,global_y_1x,pred_north_m,pred_east_m,true_north_m,true_east_m,truth_source,truth_status,truth_age_sec,truth_pose_age_sec,truth_gz_x,truth_gz_y,truth_gz_z,error_m,calc_error_m,gazebo_error_m,nav_north_m,nav_east_m,nav_raw_north_m,nav_raw_east_m,nav_filter_residual_m,nav_filter_reset,nav_gazebo_error_m,vision_tx_status,vision_tx_sent_count,vision_tx_rate_hz,vision_tx_age_sec,vision_tx_north_m,vision_tx_east_m,vision_tx_map_north_m,vision_tx_map_east_m,vision_timestamp_source,vision_extra_predict_sec,vision_prediction_horizon_sec,vision_align_source,vision_align_seed_source,vision_align_offset_north_m,vision_align_offset_east_m,vision_align_age_sec,nav_status,reject_reason,reject_error_m,reject_jump_m,reject_nav_age_sec,inliers,good_count,tiles_scanned,tiles_considered,frame_quad_width_m,frame_quad_height_m,frame_quad_area_m2,search_source,search_radius_m,duration_sec
2026-06-02T14:20:34,OK,1,sift_master,patch_r05_c05.png,6130.92041015625,6134.9954833984375,1.0991841554641724,-1.5966296195983887,1.3634523373301166,-1.836886407168152,gazebo,receiving,0.026703834533691406,0.0070667266845703125,-1.8316653292368126,1.1684348834554146,100.63448077413928,0.3542853482287185,0.3571568225864854,0.3571568225864854,1.0991841554641724,-1.5966296195983887,1.0991841554641724,-1.5966296195983887,0.0,False,0.3571568225864854,waiting_estimate,0,4.0,,,,,,send,0.0,,,,,,,OK,,,,,98,143,121,121,128.3771566347278,127.89524696429503,16415.058038711824,global,,2.2552200499994797
2026-06-02T14:20:34,OK,16,sift_master,patch_r05_c05.png,6131.411804199219,6134.9959716796875,1.099124550819397,-1.536644995212555,1.3641022554283537,-1.837663229254467,gazebo,receiving,0.08985304832458496,0.017134428024291992,-1.8324421513231275,1.1690848015536517,100.63381836120023,0.39717206859675597,0.40103012501000834,0.40103012501000834,1.0991781949996948,-1.5906311571598053,1.099124550819397,-1.536644995212555,0.05998465399936252,False,0.36222866043065927,waiting_alignment,0,4.0,2.57619309425354,,,,,send,0.0,,,,,,,OK,,,,,89,148,9,9,127.57140012330237,127.63032693416731,16280.221879924116,vision_predicted,155.0,0.35458478199871024
2026-06-02T14:20:34,OK,18,sift_master,patch_r05_c05.png,6130.942077636719,6134.8067626953125,1.1222213506698608,-1.5939846634864807,1.364746606011209,-1.8385536811323204,gazebo,receiving,0.11482763290405273,0.01840519905090332,-1.833332603200981,1.169729152136507,100.63106900670496,0.33947160352709865,0.3444306953084135,0.3444306953084135,1.1014822516441283,-1.590705934577732,1.1222213506698608,-1.5939846634864807,0.023329637052634657,False,0.3615752006879114,sending,1,4.0,0.6317520141601562,1.3612787819411527,-1.8350085505915377,1.0991781949996948,-1.5906311571598053,send,0.0,0.6317520141601562,telemetry,global_position_seed,0.2621005869414579,-0.24437739343173237,0.25272464752197266,OK,,,,,88,132,9,9,128.50928832891245,128.33933294084764,16488.436010853537,vision_predicted,155.00042584859744,0.42472736399940914
2026-06-02T14:20:35,OK,21,sift_master,patch_r05_c05.png,6131.514404296875,6133.192077636719,1.3193264603614807,-1.524120569229126,1.3651605613178592,-1.8391685036155847,gazebo,receiving,0.027707815170288086,0.004503488540649414,-1.8339474256842452,1.1701431074431572,100.62668506825588,0.3220660653928578,0.3183645171366525,0.3183645171366525,1.1244922645473392,-1.5838011044040805,1.3193264603614807,-1.524120569229126,0.22641088546801397,False,0.3509041716059683,sending,3,4.0,0.8299925327301025,1.3635828385855862,-1.8350833280094643,1.1014822516441283,-1.590705934577732,send,0.0,0.8299925327301025,telemetry,global_position_seed,0.2621005869414579,-0.24437739343173237,0.5867009162902832,OK,,,,,83,142,9,9,127.50337773735315,127.78015032804832,16285.676930496262,vision_predicted,155.00158503518716,0.3255550770008995
2026-06-02T14:20:35,OK,23,sift_master,patch_r05_c05.png,6131.004943847656,6134.614501953125,1.145690679550171,-1.5863105654716492,1.3654942776617194,-1.8394420258795046,gazebo,receiving,0.027868270874023438,0.0025086402893066406,-1.834220947948165,1.1704768237870173,100.62084983030398,0.3355519454955951,0.33524492239405623,0.33524492239405623,1.1298786354152948,-1.5831038947242524,1.145690679550171,-1.5863105654716492,0.017926581305165838,False,0.3481723256598123,sending,4,4.0,0.5686407089233398,1.386592851488797,-1.8281784978358129,1.1244922645473392,-1.5838011044040805,send,0.0,0.5686407089233398,telemetry,global_position_seed,0.2621005869414579,-0.24437739343173237,0.9961915016174316,OK,,,,,87,140,9,9,128.28681873121272,127.63566512376384,16370.10611905554,vision_predicted,155.0074144524375,0.39967560399963986
2026-06-02T14:20:36,OK,26,sift_master,patch_r05_c05.png,6131.2530517578125,6134.87646484375,1.1137127876281738,-1.5560239553451538,1.366077947304006,-1.8394324234910742,gazebo,receiving,0.023831605911254883,0.0025861263275146484,-1.8342113455597346,1.1710604934293039,100.61434853290237,0.37933941702032203,0.379484563105043,0.379484563105043,1.1374647194550158,-1.578382074861032,1.1137127876281738,-1.5560239553451538,0.036244025029817384,False,0.3470033032514256,sending,6,4.0,0.8650224208831787,1.3919792223567526,-1.8274812881559848,1.1298786354152948,-1.5831038947242524,send,0.0,0.8650224208831787,telemetry,global_position_seed,0.2621005869414579,-0.24437739343173237,1.39772367477417,OK,,,,,92,147,9,9,128.15539647031804,127.82651672543672,16377.662777134372,vision_predicted,155.01274058771736,0.3929996909973852
2026-06-02T14:20:36,OK,29,sift_master,patch_r05_c05.png,6131.518737792969,6134.675842285156,1.1382028460502625,-1.5235915780067444,1.366723892788931,-1.8393899607697748,gazebo,receiving,0.05088186264038086,0.005435943603515625,-1.8341688828384353,1.1717064389142289,100.60986315099265,0.3899583866127589,0.38980826999729257,0.38980826999729257,1.1445856596291804,-1.5705490077918944,1.1382028460502625,-1.5235915780067444,0.052654716426814775,False,0.3487418137094985,sending,7,4.0,0.6149542331695557,1.3995653063964737,-1.8227594682927644,1.1374647194550158,-1.578382074861032,send,0.0,0.6149542331695557,telemetry,global_position_seed,0.2621005869414579,-0.24437739343173237,1.729116439819336,OK,,,,,94,145,9,9,128.2599909775825,127.81885915726224,16389.069587096325,vision_predicted,155.00998601498716,0.3232998730018153
2026-06-02T14:20:36,OK,32,sift_master,patch_r05_c05.png,6130.698913574219,6135.550109863281,1.0314807295799255,-1.6236677765846252,1.3675814110693296,-1.8393763609115132,gazebo,receiving,0.09328675270080566,0.005041837692260742,-1.8341552829801737,1.1725639571946276,100.60533420521831,0.39631770603889943,0.39936682567528314,0.39936682567528314,1.1397720002856988,-1.5720548615135748,1.0314807295799255,-1.6236677765846252,0.1332911614474235,False,0.35122344978937137,sending,9,4.0,0.6943051815032959,1.4066862465706382,-1.8149264012236268,1.1445856596291804,-1.5705490077918944,send,0.0,0.6943051815032959,telemetry,global_position_seed,0.2621005869414579,-0.24437739343173237,2.0741679668426514,OK,,,,,81,142,9,9,128.46463717735855,127.71450342769108,16403.194603744232,vision_predicted,155.0087444314725,0.3291898159986886
2026-06-02T14:20:37,OK,34,sift_master,patch_r05_c05.png,6131.432861328125,6134.3685302734375,1.175716519355774,-1.5340745449066162,1.368597597141794,-1.8393432946844979,gazebo,receiving,0.08454608917236328,0.009076833724975586,-1.8341222167531583,1.173580143267092,100.60160906177994,0.36075191039780374,0.36109849038572245,0.36109849038572245,1.1450886931893551,-1.5669844979540235,1.175716519355774,-1.5340745449066162,0.04995218386781614,False,0.35232874464410713,sending,10,4.0,0.5470595359802246,1.4018725872271567,-1.8164322549453071,1.1397720002856988,-1.5720548615135748,send,0.0,0.5470595359802246,telemetry,global_position_seed,0.2621005869414579,-0.24437739343173237,2.367450714111328,OK,,,,,89,141,9,9,128.3417055337508,127.77400898634738,16394.10615190423,vision_predicted,155.00339683010415,0.2855051349979476
2026-06-02T14:20:37,OK,37,sift_master,patch_r05_c05.png,6131.660339355469,6134.3057861328125,1.1833757162094116,-1.506306231021881,1.3699641036013364,-1.8391553423203144,gazebo,receiving,0.0941324234008789,0.004855155944824219,-1.8339342643889749,1.1749466497266343,100.59920868155568,0.38119604614662866,0.381580603806949,0.381580603806949,1.1532189067053975,-1.5571848042138638,1.1833757162094116,-1.506306231021881,0.06571602177488928,False,0.3556485129133828,sending,12,4.0,0.7992184162139893,1.407189280130813,-1.8113618913857559,1.1450886931893551,-1.5669844979540235,send,0.0,0.7992184162139893,telemetry,global_position_seed,0.2621005869414579,-0.24437739343173237,2.7811901569366455,OK,,,,,85,144,9,9,127.92543533472245,128.01624885791418,16371.653757312117,vision_predicted,155.00645916463796,0.4025303740017989
