timestamp,status,frame_id,scale_name,tile_img,global_x_1x,global_y_1x,pred_north_m,pred_east_m,true_north_m,true_east_m,error_m,calc_error_m,nav_status,reject_reason,reject_error_m,reject_jump_m,reject_nav_age_sec,inliers,good_count,tiles_scanned,tiles_considered,search_source,search_radius_m,duration_sec
2026-05-31T23:32:04,OK,1,1/4x,tile_r000_c003_x2304_y0.jpg,11085.822509765625,3609.5869140625,75.12825411466925,-48.11581214951993,75.32339477539062,-48.06031799316406,0.20287799007390092,0.20287799007390092,OK,,,,,117,198,6,6,local_ned_seed,120.0,1.5406785650011443
2026-05-31T23:32:05,OK,11,1/4x,tile_r000_c003_x2304_y0.jpg,11081.441284179688,3609.99560546875,75.10537386907545,-48.36109138440363,75.32141876220703,-48.05982208251953,0.3707271073255475,0.3707271073255475,OK,,,,,108,191,6,6,vision_predicted,125.04638292941435,1.1592639049995341
2026-05-31T23:32:06,OK,19,1/4x,tile_r000_c003_x2304_y0.jpg,11082.024291992188,3610.91455078125,75.05392748650969,-48.328452181656324,75.31792449951172,-48.05946350097656,0.37689432631419467,0.37689432631419467,OK,,,,,117,198,6,6,vision_predicted,125.03454423015766,1.2329016369985766
2026-05-31T23:32:07,OK,26,1/4x,tile_r000_c003_x2304_y0.jpg,11084.637573242188,3614.43359375,74.85691681746,-48.18214982562301,75.31287384033203,-48.058963775634766,0.4723045729378747,0.4723045729378747,OK,,,,,123,209,6,6,vision_predicted,125.0338723605085,1.18028098799914
2026-05-31T23:32:08,OK,34,1/4x,tile_r000_c003_x2304_y0.jpg,11076.807739257812,3614.32666015625,74.86290340501678,-48.62049650540114,75.31380462646484,-48.05834197998047,0.7206452816429858,0.7206452816429858,OK,,,,,101,216,6,6,vision_predicted,125.03068843078685,1.0409231719968375
2026-05-31T23:32:10,OK,41,1/4x,tile_r001_c003_x2304_y768.jpg,11077.69091796875,3615.9102783203125,74.7742458703428,-48.571052487001445,75.31640625,-48.05813980102539,0.7463359167996773,0.7463359167996773,OK,,,,,103,204,6,6,vision_predicted,125.02572328280202,1.2254094529998838
2026-05-31T23:32:11,OK,50,1/4x,tile_r001_c003_x2304_y768.jpg,11095.4814453125,3609.2153930664062,75.14905340602674,-47.57506475492476,75.31609344482422,-48.058937072753906,0.5118933429170709,0.5118933429170709,OK,,,,,121,219,6,6,vision_predicted,125.03197873090073,1.0157530969991058
2026-05-31T23:32:12,OK,56,1/4x,tile_r000_c003_x2304_y0.jpg,11091.335693359375,3614.65185546875,74.84469761820019,-47.80716119623664,75.31481170654297,-48.05916213989258,0.5333964113694879,0.5333964113694879,OK,,,,,124,207,6,6,vision_predicted,125.02846527541293,1.0008774699999776
2026-05-31T23:32:13,OK,63,1/4x,tile_r001_c003_x2304_y768.jpg,11094.815551757812,3609.8646240234375,75.11270675543206,-47.61234424633738,75.31462097167969,-48.058799743652344,0.48999169564967837,0.48999169564967837,OK,,,,,108,210,6,6,vision_predicted,125.02949511642959,1.0634612229987397
2026-05-31T23:32:14,OK,70,1/4x,tile_r000_c003_x2304_y0.jpg,11088.588256835938,3618.055908203125,74.6541245809753,-47.96097412258381,75.31649017333984,-48.057865142822266,0.6694147053592956,0.6694147053592956,OK,,,,,119,206,6,6,vision_predicted,125.0271380987708,0.9622599029971752
